,image,atributes,categories
0,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2866.jpg,[],['age related macular degeneration']
1,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1647.jpg,[],['age related macular degeneration']
2,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1088.jpg,[],['age related macular degeneration']
3,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1241.jpg,[],['age related macular degeneration']
4,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1852.jpg,[],['age related macular degeneration']
5,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2527.jpg,[],['age related macular degeneration']
6,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1346.jpg,[],['age related macular degeneration']
7,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1928.jpg,[],['age related macular degeneration']
8,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2076.jpg,[],['age related macular degeneration']
9,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2048.jpg,[],['age related macular degeneration']
10,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1165.jpg,[],['age related macular degeneration']
11,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3013.jpg,[],['age related macular degeneration']
12,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1964.jpg,[],['age related macular degeneration']
13,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1966.jpg,[],['age related macular degeneration']
14,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3244.jpg,[],['age related macular degeneration']
15,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2790.jpg,[],['age related macular degeneration']
16,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2630.jpg,[],['age related macular degeneration']
17,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2349.jpg,[],['age related macular degeneration']
18,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1240.jpg,[],['age related macular degeneration']
19,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1342.jpg,[],['age related macular degeneration']
20,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1107.jpg,[],['age related macular degeneration']
21,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3227.jpg,[],['age related macular degeneration']
22,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1070.jpg,[],['age related macular degeneration']
23,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2297.jpg,[],['age related macular degeneration']
24,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1055.jpg,[],['age related macular degeneration']
25,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2111.jpg,[],['age related macular degeneration']
26,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2460.jpg,[],['age related macular degeneration']
27,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3080.jpg,[],['age related macular degeneration']
28,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2853.jpg,[],['age related macular degeneration']
29,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2705.jpg,[],['age related macular degeneration']
30,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3118.jpg,[],['age related macular degeneration']
31,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1769.jpg,[],['age related macular degeneration']
32,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1065.jpg,[],['age related macular degeneration']
33,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1710.jpg,[],['age related macular degeneration']
34,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2943.jpg,[],['age related macular degeneration']
35,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3131.jpg,[],['age related macular degeneration']
36,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2203.jpg,[],['age related macular degeneration']
37,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1831.jpg,[],['age related macular degeneration']
38,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1060.jpg,[],['age related macular degeneration']
39,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2756.jpg,[],['age related macular degeneration']
40,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1193.jpg,[],['age related macular degeneration']
41,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2079.jpg,[],['age related macular degeneration']
42,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1654.jpg,[],['age related macular degeneration']
43,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3126.jpg,[],['age related macular degeneration']
44,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1151.jpg,[],['age related macular degeneration']
45,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2112.jpg,[],['age related macular degeneration']
46,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2380.jpg,[],['age related macular degeneration']
47,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2451.jpg,[],['age related macular degeneration']
48,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1806.jpg,[],['age related macular degeneration']
49,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2524.jpg,[],['age related macular degeneration']
50,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2566.jpg,[],['age related macular degeneration']
51,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2909.jpg,[],['age related macular degeneration']
52,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3112.jpg,[],['age related macular degeneration']
53,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2587.jpg,[],['age related macular degeneration']
